Open,High,Low,Close,Adj_close,Volume,Date,Stock_Name
80.0,80.379997,79.57,79.949997,75.476021,3485200.0,2019-01-10T00:00:00,COF
79.370003,81.029999,79.040001,80.940002,76.410637,1832300.0,2019-01-11T00:00:00,COF
80.209999,81.650002,79.919998,81.400002,76.844879,2452900.0,2019-01-14T00:00:00,COF
81.0,81.629997,80.519997,81.519997,76.958168,2829300.0,2019-01-15T00:00:00,COF
82.400002,84.309998,82.160004,83.620003,78.940674,3767800.0,2019-01-16T00:00:00,COF
83.199997,84.059998,82.230003,83.650002,78.968971,2312200.0,2019-01-17T00:00:00,COF
83.889999,85.25,82.940002,84.970001,80.215111,2671600.0,2019-01-18T00:00:00,COF
84.0,84.160004,82.800003,83.400002,78.732979,4800800.0,2019-01-22T00:00:00,COF
79.769997,80.580002,77.709999,78.199997,73.823952,8586700.0,2019-01-23T00:00:00,COF
78.199997,80.839996,78.199997,80.18,75.693153,5529200.0,2019-01-24T00:00:00,COF
80.980003,81.300003,79.540001,79.620003,75.164505,3486900.0,2019-01-25T00:00:00,COF
78.739998,79.550003,78.440002,79.480003,75.032333,3848600.0,2019-01-28T00:00:00,COF
79.599998,80.0,78.879997,79.559998,75.107864,2454200.0,2019-01-29T00:00:00,COF
79.900002,81.25,79.190002,80.879997,76.353996,2720900.0,2019-01-30T00:00:00,COF
80.279999,80.809998,79.900002,80.589996,76.080208,3220200.0,2019-01-31T00:00:00,COF
80.940002,81.339996,80.43,80.879997,76.353996,2438600.0,2019-02-01T00:00:00,COF
80.849998,81.620003,80.300003,81.389999,76.835442,3282300.0,2019-02-04T00:00:00,COF
81.559998,81.599998,80.5,80.860001,76.335106,2305700.0,2019-02-05T00:00:00,COF
80.68,81.199997,79.589996,80.139999,75.655388,3552900.0,2019-02-06T00:00:00,COF
79.910004,80.029999,78.360001,79.029999,74.607513,3395600.0,2019-02-07T00:00:00,COF
77.910004,78.589996,76.82,77.830002,73.84845,3187500.0,2019-02-08T00:00:00,COF
78.080002,78.400002,77.75,78.040001,74.047714,2649200.0,2019-02-11T00:00:00,COF
78.82,80.32,78.760002,79.790001,75.708183,2113800.0,2019-02-12T00:00:00,COF
80.080002,80.639999,79.75,79.989998,75.897942,1809800.0,2019-02-13T00:00:00,COF
79.449997,80.470001,78.519997,79.610001,75.537384,2087800.0,2019-02-14T00:00:00,COF
80.269997,81.709999,80.059998,81.57,77.397125,2704700.0,2019-02-15T00:00:00,COF
81.550003,82.580002,81.139999,82.199997,77.994888,2952500.0,2019-02-19T00:00:00,COF
82.410004,82.82,81.82,82.720001,78.488281,2167500.0,2019-02-20T00:00:00,COF
82.980003,82.980003,81.620003,82.07,77.871529,1736900.0,2019-02-21T00:00:00,COF
82.07,82.440002,81.019997,81.199997,77.046043,2096600.0,2019-02-22T00:00:00,COF
81.989998,82.629997,81.389999,81.419998,77.254799,2514300.0,2019-02-25T00:00:00,COF
81.160004,81.669998,80.25,80.900002,76.761391,2682600.0,2019-02-26T00:00:00,COF
80.709999,82.330002,80.5,82.260002,78.051811,2676400.0,2019-02-27T00:00:00,COF
82.43,83.870003,81.910004,83.580002,79.304291,4649900.0,2019-02-28T00:00:00,COF
84.0,85.480003,83.809998,84.260002,79.949493,3081600.0,2019-03-01T00:00:00,COF
84.290001,84.919998,82.510002,83.309998,79.048103,2918400.0,2019-03-04T00:00:00,COF
